NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION
1548,1341 Furness Pkwy,55119,MN,STP - Saint Paul,148000,4/26/17 0:00,149900,Exclusive Right,149900,155.4622,640,Chain Link,625 - St. Paul,33,6/1/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Den, Patio","Asphalt Shingles, Pitched",No,None,33,"Tuckunder, Driveway - Concrete",952,1134,1158,2016,952,,1946,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range, Refrigerator, Washer, Dryer",,Stucco,Living/Dining Room,"Walkout, Full, Concrete Block, Unfinished",1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,Yes,24
1549,853 Margaret St,55106,MN,STP - Saint Paul,155000,4/18/17 0:00,149900,Exclusive Right,149900,142.2018,649,"Wood, Chain Link",625 - St. Paul,24,5/12/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Porch","Asphalt Shingles, Age 8 Years or Less",No,None,24,"Detached Garage, Garage Door Opener",1090,1952,1952,2016,1090,,1913,Residential-Single,(SF) One 1/2 Stories,0.11,Window,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Water Softener - Owned",,Vinyl,"Separate/Formal Dining Room, Eat In Kitchen",Full,1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",3,0,,0,No,0
1550,2122 Mohawk Ave,55119,MN,STP - Saint Paul,155000,4/13/17 0:00,149900,Exclusive Right,149900,140.9091,792,"Wood, Chain Link, Privacy, Partial",625 - St. Paul,9,4/22/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age Over 8 Years",No,,9,"Detached Garage, Uncovered/Open",792,1172,1250,2016,1100,,1952,Residential-Single,(SF) One Story,0.11,Central,"Range, Microwave, Refrigerator, Freezer, Washer, Dryer",,Metal,,"Full, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,2,308,,0,No,0
1551,107 Magnolia Ave W,55117,MN,STP - Saint Paul,148500,4/11/17 0:00,149900,Exclusive Right,149900,114.2308,650,"Wire, Chain Link",625 - St. Paul,71,6/21/17 0:00,0,"Living Room, Dining Room, , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Porch, Patio",Asphalt Shingles,No,None,71,"Detached Garage, Insulated Garage",1300,1547,1880,2016,1300,,1884,Residential-Single,(SF) Two Stories,0.11,Window,"Range, Refrigerator, Washer, Dryer",,Vinyl,"Separate/Formal Dining Room, Eat In Kitchen","Full, Concrete Block, Stone",1,0,0,0,SF,1,Upper Level Full Bath ,3,0,,0,Unknown,333
1552,"305 Dayton Ave, 7",55102,MN,STP - Saint Paul,160000,4/3/17 0:00,149900,Exclusive Right,149900,125,1280,,625 - St. Paul,7,5/11/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry, Utility Room",Rubber,No,,7,"Driveway - Asphalt, More Parking Offsite for Fee, Assigned",1280,2606,2606,2017,1280,7,1904,Residential-Multi-Family,(CC) Low Rise (3- Levels),0.03,None,"Range, Microwave, Refrigerator, Washer, Dryer, Disposal",,Brick/Stone,Living/Dining Room,"Egress Windows, Slab",1,1,0,0,SF,2,"Main Floor Full Bath, Main Floor 1/2 Bath",2,0,Not Assumable,200,No,0
1553,885 Case Ave,55106,MN,STP - Saint Paul,150000,3/29/17 0:00,149900,Exclusive Right,159900,98.6842,816,None,625 - St. Paul,33,5/1/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Laundry","Asphalt Shingles, Age 8 Years or Less",No,None,27,Detached Garage,1520,1923,2314,2017,1520,,1909,Residential-Single,(SF) One 1/2 Stories,0.19,None,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,Stucco,"Eat In Kitchen, Kitchen/Dining Room","Full, Day/Lookout Windows, Unfinished",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",4,0,Not Assumable,0,Yes,391
1554,941 Frank St,55106,MN,STP - Saint Paul,149900,3/28/17 0:00,149900,Exclusive Right,159900,111.699,804,,625 - St. Paul,55,5/22/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age Over 8 Years",No,,14,Detached Garage,1342,1036,1516,2017,1342,,1914,Residential-Single,(SF) One 1/2 Stories,0.17,Central,"Range, Dishwasher, Refrigerator, Washer, Dryer, Furnace Humidifier",,Stucco,Separate/Formal Dining Room,"Full, Concrete Block",1,1,0,0,SF,2,Main Floor 1/2 Bath,2,0,Not Assumable,0,No,480
1555,2045 Bush Ave E,55119,MN,STP - Saint Paul,155900,3/21/17 0:00,149900,Exclusive Right,149900,117.13,864,Chain Link,625 - St. Paul,10,3/31/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age 8 Years or Less",Not Disclosed,None,10,"Detached Garage, Driveway - Asphalt",1331,2250,2250,2016,1331,,1955,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range, Dishwasher, Refrigerator",,Stucco,"Eat In Kitchen, Kitchen/Dining Room","Full, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,3,0,Not Assumable,0,Unknown,0
1556,1441 Hazel St N,55119,MN,STP - Saint Paul,160000,3/17/17 0:00,149900,Exclusive Right,149900,143.6266,848,"Wood, Full",625 - St. Paul,12,3/29/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Office",Asphalt Shingles,No,None,12,"Detached Garage, Garage Door Opener",1114,1778,1778,2017,1114,,1948,Residential-Single,(SF) One 1/2 Stories,0.12,"Window, Wall","Range, Microwave, Refrigerator, Washer, Dryer, Disposal",,Stucco,,"Full, Partial Finished, Drain Tiled, Concrete Block",1,1,0,0,SF,2,"Main Floor Full Bath, 1/2 Basement",2,0,Not Assumable,0,Unknown,0
1557,1047 Earl St,55106,MN,STP - Saint Paul,162900,3/13/17 0:00,149900,Exclusive Right,149900,130.6335,812,,625 - St. Paul,30,4/17/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Utility Room, Storage Room","Asphalt Shingles, Age 8 Years or Less",No,,30,"Detached Garage, Garage Door Opener",1247,990,1044,2016,1247,,1893,Residential-Single,(SF) One 1/2 Stories,0,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Stucco,"Separate/Formal Dining Room, Eat In Kitchen","Full, Stone, Unfinished",0,1,0,1,SF,2,"Upper Level 3/4 Bath, 1/2 Basement",3,0,,0,Yes,54.36
1558,328 Wyoming St E,55107,MN,STP - Saint Paul,156000,3/10/17 0:00,149900,Exclusive Right,149900,133.1058,498,None,625 - St. Paul,20,3/30/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sitting Room, Porch, Mud Room, Laundry",Asphalt Shingles,No,None,20,"Detached Garage, Driveway - Asphalt, Garage Door Opener",1172,2322,2322,2016,1172,,1913,Residential-Single,(SF) Two Stories,0.15,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Vinyl,Informal Dining Room,"Concrete Block, Poured Concrete",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",2,0,Not Assumable,0,Unknown,0
1559,42 Maryland Ave E,55117,MN,STP - Saint Paul,152618,3/9/17 0:00,149900,Exclusive Right,155000,92.8898,1127,None,625 - St. Paul,23,4/1/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Porch, Porch, Other, Family Room",Asphalt Shingles,No,None,9,Detached Garage,1643,1010,1010,2016,1643,,1902,Residential-Single,(SF) One 1/2 Stories,0.151,Window,"Range, Cooktop, Exhaust Fan/Hood, Dishwasher, Refrigerator, Freezer, Washer, Dryer",,Wood,Living/Dining Room,Unfinished,2,0,0,0,SF,2,"Main Floor Full Bath, Upper Level Full Bath ",3,0,,0,Unknown,0
1560,"988 Dayton Ave, 3",55104,MN,STP - Saint Paul,153000,3/4/17 0:00,149900,Exclusive Right,149900,170.9497,895,,625 - St. Paul,9,3/13/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,9,Uncovered/Open,895,1138,1192,2016,895,3,1915,Residential-Single,(CC) Low Rise (3- Levels),0.017,Window,"Range, Refrigerator, Freezer",,Brick/Stone,,Concrete Block,1,0,0,0,SF,1,,1,0,,240,No,54
1561,"350 Saint Peter St, 421",55102,MN,STP - Saint Paul,149000,3/24/17 0:00,149990,Exclusive Right,156900,197.6127,793,,625 - St. Paul,50,5/13/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,30,Attached Garage,754,2209,2410,2017,754,421,1911,Residential-Multi-Family,(CC) High Rise (4+ Levels),0,Central,,,Brick/Stone,,None,1,0,0,0,SF,1,,1,0,,344,No,200.88
1562,765 Laurel Ave,55104,MN,STP - Saint Paul,157000,11/3/17 0:00,150000,Exclusive Right,150000,105.7239,893,"Wood, Partial",625 - St. Paul,0,11/3/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Den, Pantry (Walk-In)","Asphalt Shingles, Pitched, Flat, Age 8 Years or Less, Rubber",No,,0,Driveway - Concrete,1485,3324,3382,2017,1485,,1885,Residential-Single,(SF) Two Stories,0.113,None,"Range, Refrigerator, Freezer, Washer, Dryer",,Wood,Informal Dining Room,"Partial, Stone, Unfinished",2,0,0,0,SF,2,"Main Floor Full Bath, Upper Level Full Bath ",3,0,,0,Unknown,58
1563,50 Winnipeg Ave,55117,MN,STP - Saint Paul,144000,10/28/17 0:00,150000,Exclusive Right,150000,130.1989,750,"Chain Link, Full",625 - St. Paul,34,12/1/17 0:00,0,"Living Room, , , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, ",Asphalt Shingles,No,,34,"Detached Garage, Driveway - Concrete",1106,940,998,2017,1106,,1884,Residential-Single,(SF) Two Stories,0.111,None,"Range, Refrigerator",,"Metal, Vinyl",Eat In Kitchen,Full,1,0,0,1,SF,2,"Main Floor 3/4 Bath, Upper Level Full Bath ",3,0,Not Assumable,0,No,58
1564,719 Charles Ave,55104,MN,STP - Saint Paul,144000,10/27/17 0:00,150000,Exclusive Right,160000,128.228,724,"Chain Link, Full",625 - St. Paul,12,11/21/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,6,Detached Garage,1123,1470,1470,2017,1123,,1889,Residential-Single,(SF) Two Stories,0.114,Window,"Range, Refrigerator, Washer, Dryer",,Cement Board,Separate/Formal Dining Room,Full,1,0,0,0,SF,1,Upper Level Full Bath ,3,0,Not Assumable,0,No,0
1565,355 Page St E,55107,MN,STP - Saint Paul,150000,10/19/17 0:00,150000,Exclusive Right,150000,131.5789,1140,,625 - St. Paul,0,10/19/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,0,Detached Garage,1140,2050,2108,2017,1140,,1920,Residential-Single,(SF) One Story,0.11,Central,,,"Metal, Vinyl",,"Full, Day/Lookout Windows",1,0,0,1,SF,2,,2,0,,0,No,58
1566,398 Banfil St,55102,MN,STP - Saint Paul,150000,10/4/17 0:00,150000,Exclusive Right,155000,179.2115,468,Chain Link,625 - St. Paul,43,11/17/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry","Asphalt Shingles, Pitched",No,None,22,Driveway - Shared,837,0,0,2017,837,,1875,Residential-Single,(SF) Two Stories,0.11,Central,"Range, Exhaust Fan/Hood, Refrigerator, Washer, Dryer",,Vinyl,Other,Crawl Space,1,0,0,0,SF,1,Main Floor Full Bath,3,0,,0,No,0
1567,862 Rose Ave E,55106,MN,STP - Saint Paul,150000,9/28/17 0:00,150000,Exclusive Right,150000,141.6431,624,"Chain Link, Full",625 - St. Paul,21,10/19/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Office","Asphalt Shingles, Age 8 Years or Less",No,None,21,"Detached Garage, Driveway - Asphalt, Garage Door Opener, Other",1059,1780,1780,2017,1059,,1919,Residential-Single,(SF) One 1/2 Stories,0.112,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Cement Board,Living/Dining Room,"Full, Day/Lookout Windows, Concrete Block, Unfinished",1,0,0,0,SF,1,Upper Level Full Bath ,2,0,Not Assumable,0,Unknown,0
1568,"1345 Magnolia Ave E, 1345",55106,MN,STP - Saint Paul,153000,9/7/17 0:00,150000,Exclusive Right,150000,110.5491,811,None,625 - St. Paul,14,9/21/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Bonus Room, Deck",Asphalt Shingles,No,None,14,"Tuckunder, Insulated Garage, Driveway - Asphalt, Garage Door Opener",1384,1906,1906,2017,1384,1345,2007,Residential-Multi-Family,(TH) Side x Side,0,Central,"Range, Cooktop, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal",,"Brick/Stone, Cement Board","Informal Dining Room, Eat In Kitchen, Breakfast Area",Partial,1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",2,0,Not Assumable,245,No,0
1569,790 Hawthorne Ave E,55106,MN,STP - Saint Paul,150000,8/26/17 0:00,150000,Exclusive Right,150000,111.5242,940,,625 - St. Paul,24,9/19/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room",Asphalt Shingles,No,,24,None,1345,2160,2218,2017,1345,,1898,Residential-Single,(SF) One 1/2 Stories,0.11,None,"Range, Refrigerator, Washer, Dryer",,Shakes,Eat In Kitchen,Unfinished,2,0,0,0,SF,2,"Main Floor Full Bath, Upper Level Full Bath ",4,0,,0,Unknown,58.2
1570,757 Maryland Ave E,55106,MN,STP - Saint Paul,147000,8/4/17 0:00,150000,Exclusive Right,150000,107.9295,685,Chain Link,625 - St. Paul,3,8/7/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Age 8 Years or Less,No,None,3,Detached Garage,1362,1416,1772,2017,1362,,1908,Residential-Single,(SF) One 1/2 Stories,0.111,Wall,"Range, Microwave, Refrigerator",,Vinyl,,"Full, Finished (Livable)",1,0,0,0,SF,1,Upper Level Full Bath ,3,0,Not Assumable,0,No,356
1571,695 Idaho Ave E,55106,MN,STP - Saint Paul,145000,7/31/17 0:00,150000,Exclusive Right,165000,142.4361,754,"Wood, Chain Link",625 - St. Paul,67,10/6/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Den, Deck",Age Over 8 Years,No,,16,"Attached Garage, Tuckunder, Driveway - Concrete, Driveway - Asphalt",1018,1835,2536,2017,1018,,1918,Residential-Single,(SF) One 1/2 Stories,0.152,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Stucco,Separate/Formal Dining Room,"Walkout, Full, Day/Lookout Windows, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,701
1572,1478 Charles Ave,55104,MN,STP - Saint Paul,142000,7/31/17 0:00,150000,Exclusive Right,150000,151.7094,936,None,625 - St. Paul,21,8/21/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch","Asphalt Shingles, Age 8 Years or Less",No,,21,Detached Garage,936,1228,1228,2016,936,,1910,Residential-Single,(SF) One Story,0.11,Central,"Range, Refrigerator, Washer, Dryer",,Stucco,Separate/Formal Dining Room,Full,1,0,0,0,SF,1,Main Floor Full Bath,2,0,,0,No,0
1573,1233 Matilda St,55117,MN,STP - Saint Paul,147500,7/27/17 0:00,150000,Exclusive Right,150000,210.114,552,,625 - St. Paul,20,8/16/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Walk-In Closet",Asphalt Shingles,No,,20,"Detached Garage, Insulated Garage, Heated Garage, Driveway - Asphalt",552,778,832,2016,702,,1915,Residential-Single,(SF) One Story,0.11,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,"Wood, Cement Board",,Full,1,1,0,0,SF,2,Main Floor Full Bath,1,150,Not Assumable,0,No,54
1574,"341 Ramsey St, 341A",55102,MN,STP - Saint Paul,150000,7/25/17 0:00,150000,Exclusive Right,149900,183.1502,819,,625 - St. Paul,21,8/15/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Flat, Tar/Gravel",No,,0,"Uncovered/Open, No Int Access to Dwelling",819,2156,2156,2016,819,341A,1888,Residential-Multi-Family,(CC) Low Rise (3- Levels),0.019,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Rented",,Brick/Stone,Eat In Kitchen,None,0,0,0,1,SF,1,Main Floor 3/4 Bath,2,0,,454,Unknown,0
1575,1031 Minnehaha Ave E,55106,MN,STP - Saint Paul,150000,7/20/17 0:00,150000,Exclusive Right,150000,80.732,660,,625 - St. Paul,27,8/16/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,None,27,Detached Garage,1198,818,961,2017,1858,,1884,Residential-Single,(SF) Two Stories,0.15,None,"Range, Microwave, Dishwasher, Refrigerator, Dryer",,Metal,"Informal Dining Room, Eat In Kitchen",Full,1,1,0,0,SF,2,Upper Level Full Bath ,2,660,Information Coming,0,Yes,143
1576,741 Como Ave,55103,MN,STP - Saint Paul,162500,7/14/17 0:00,150000,Exclusive Right,150000,137.8287,691,Chain Link,625 - St. Paul,13,7/27/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Three Season Porch, Sitting Room, Foyer",Asphalt Shingles,No,,13,Detached Garage,1179,1874,1928,2016,1179,,1910,Residential-Single,(SF) One 1/2 Stories,0.14,Window,,,Stucco,Separate/Formal Dining Room,Full,1,0,0,0,SF,1,Upper Level Full Bath ,2,0,,0,Unknown,54
1577,"289 5th St E, 404",55101,MN,STP - Saint Paul,150000,7/11/17 0:00,150000,Exclusive Right,150000,146.1988,1026,,625 - St. Paul,23,8/3/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",,No,,23,More Parking Offsite for Fee,1026,2358,2358,2017,1026,404,1902,Residential-Single,(CC) High Rise (4+ Levels),0,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Brick/Stone,,None,1,0,0,0,SF,1,Main Floor Full Bath,1,0,Not Assumable,410,No,0
1578,916 Case Ave,55106,MN,STP - Saint Paul,155000,7/7/17 0:00,150000,Exclusive Right,150000,129.1667,918,"Wood, Full",625 - St. Paul,10,7/17/17 0:00,0,"Living Room, , , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, , , Den, Office, Foyer, Mud Room, Storage Room","Asphalt Shingles, Age Over 8 Years",No,None,10,"Detached Garage, Uncovered/Open",1200,1062,1116,2016,1200,,1888,Residential-Single,(SF) One 1/2 Stories,0.09,Central,"Range, Microwave, Exhaust Fan/Hood, Refrigerator, Washer, Dryer",,Vinyl,Eat In Kitchen,Unfinished,1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,No,54
1579,591 Geranium Ave E,55130,MN,STP - Saint Paul,155000,7/7/17 0:00,150000,Exclusive Right,155000,131.5789,672,Wood,625 - St. Paul,46,8/22/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age 8 Years or Less",No,,41,Detached Garage,1008,1150,1150,2017,1178,,1918,Residential-Single,(SF) One 1/2 Stories,0.11,None,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Vinyl,Separate/Formal Dining Room,Partial Finished,1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath ",3,170,Not Assumable,0,No,54
1580,679 Burr St,55130,MN,STP - Saint Paul,145000,6/25/17 0:00,150000,Exclusive Right,129900,164.0271,884,Chain Link,625 - St. Paul,13,10/7/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Asphalt Shingles,No,None,0,"Detached Garage, Uncovered/Open, Driveway - Gravel",884,1635,2010,2016,884,,1884,Residential-Single,(SF) One Story,0.13,Central,"Range, Dishwasher, Washer, Dryer",,Other,,Partial,1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,Unknown,375
1581,336 Toronto St,55102,MN,STP - Saint Paul,155000,6/19/17 0:00,150000,Exclusive Right,150000,152.86,724,Chain Link,625 - St. Paul,2,6/21/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age Over 8 Years",No,,2,"Detached Garage, Driveway - Concrete",1014,1954,2012,2017,1014,,1910,Residential-Single,(SF) Two Stories,0.14,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Shakes,Separate/Formal Dining Room,Full,0,0,0,1,SF,1,Main Floor 3/4 Bath,3,0,Not Assumable,0,Yes,58.2
1582,"2265 Youngman Ave, 402E",55116,MN,STP - Saint Paul,145000,6/16/17 0:00,150000,Exclusive Right,150000,107.0111,1355,,625 - St. Paul,25,7/11/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Den, Three Season Porch, Foyer",,No,"Below Ground, Outdoor, Shared",25,"Insulated Garage, Heated Garage, Underground Garage",1355,2042,2042,2017,1355,402E,1980,Residential-Multi-Family,(CC) High Rise (4+ Levels),0.03,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Brick/Stone,Separate/Formal Dining Room,None,1,0,0,1,SF,2,"Main Floor Full Bath, Main Floor 3/4 Bath, 3/4 Master",1,0,,580,Unknown,0
1583,1167 Geranium Ave E,55106,MN,STP - Saint Paul,147000,6/14/17 0:00,150000,Exclusive Right,155000,110.5263,922,Chain Link,625 - St. Paul,90,9/12/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room",Asphalt Shingles,No,,60,Other,1330,1992,1992,2016,1330,,1923,Residential-Single,(SF) One 1/2 Stories,0,None,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Stucco,"Informal Dining Room, Eat In Kitchen","Full, Unfinished",1,0,0,0,SF,1,Main Floor Full Bath,3,0,Not Assumable,0,Unknown,0
1584,"500 Robert St N, 707",55101,MN,STP - Saint Paul,150000,5/6/17 0:00,150000,Exclusive Right,159900,189.3939,792,None,625 - St. Paul,146,9/29/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom",Other,No,,41,None,792,1921,2118,2017,792,707,1916,Other,(CC) High Rise (4+ Levels),0,Central,"Range, Dishwasher, Refrigerator",,Brick/Stone,,None,1,0,0,0,SF,1,Main Floor Full Bath,0,0,Not Assumable,299,Unknown,197.38
1585,906 Algonquin Ave,55119,MN,STP - Saint Paul,160000,5/2/17 0:00,150000,Exclusive Right,150000,169.3122,745,Chain Link,625 - St. Paul,15,5/17/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Office, Porch","Asphalt Shingles, Age Over 8 Years",No,None,15,"Detached Garage, Garage Door Opener",945,1234,1378,2017,945,,1942,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,"Metal, Vinyl",Informal Dining Room,"Full, Drain Tiled, Sump Pump, Concrete Block, Unfinished",1,0,0,0,SF,1,Main Floor Full Bath,2,0,Not Assumable,0,Yes,143
